item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
25,3,P111,booed,191.36,389.8658162,1764.191183,330,u,UW,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
34,2,P111,caught,189.2,922.7870688,1311.549192,350,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
24,2,P111,pode,193.37,562.5466233,1286.667873,340,o,OW,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
31,3,P111,pud,193.93,695.0738484,1436.403429,300,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
34,3,P111,caught,184.93,943.460486,1410.006568,350,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
32,3,P111,putt,220.03,728.2933661,1345.402464,330,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
17,3,P111,bid,185.7,523.1132653,2144.363985,360,ɪ,IH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
28,2,P111,poot,221.55,364.9784389,1784.422797,340,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
15,3,P111,peat,204.93,303.7998582,2809.329019,390,i,IY,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
27,3,P111,pooed,210.77,398.3675833,1857.097001,370,u,UW,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
5,3,P111,bod,188.28,805.8796044,1255.779911,350,ɑ,AA,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
21,1,P111,boat,185.35,565.8458801,1342.161895,300,o,OW,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
