item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
17,2,P101,bid,96.4,428.5812942,1802.525322,460,ɪ,IH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
17,3,P101,bid,90.02,496.149073,1690.077518,460,ɪ,IH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
17,1,P101,bid,88.55,459.5546255,1794.461892,410,ɪ,IH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
18,3,P101,bit,90.86,506.6344011,1690.164855,540,ɪ,IH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
18,1,P101,bit,87.53,481.9903394,1801.269933,430,ɪ,IH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
18,2,P101,bit,86.34,490.824013,1762.426646,440,ɪ,IH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
19,1,P101,pid,90.8,471.5467482,1831.001498,440,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
19,3,P101,pid,97.06,403.67251220000003,1834.357707,410,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
19,2,P101,pid,99.35,482.9660172,1768.741667,520,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
20,1,P101,pit,91.45,505.5238101,1756.763589,400,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
20,2,P101,pit,98.45,490.5960061,1755.098017,510,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
20,3,P101,pit,112.58,449.8113205,1663.506529,550,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
21,1,P101,boat,86.43,553.5221226,1120.266954,620,o,OW,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
21,2,P101,boat,92.55,572.9141444,1213.897908,480,o,OW,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
21,3,P101,boat,92.07,504.4041241,1101.10948,570,o,OW,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
22,1,P101,bode,92.22,605.0069052,1190.566352,440,o,OW,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
22,3,P101,bode,94.26,639.0822599,1244.6857,480,o,OW,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
22,2,P101,bode,93.01,562.9996571,1138.455668,520,o,OW,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
23,3,P101,poat,93.42,524.3455841,1102.469437,520,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
23,2,P101,poat,96.13,553.7583251,1155.487692,460,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
23,1,P101,poat,95.84,553.3695631,1122.911413,430,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
24,2,P101,pode,92.7,602.160742,1193.734511,540,o,OW,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
24,1,P101,pode,91.26,689.8657288,1115.707928,400,o,OW,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
24,3,P101,pode,93.7,600.1148132,1193.759606,450,o,OW,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
25,2,P101,booed,97.05,403.9788754,1522.189979,460,u,UW,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
25,3,P101,booed,92.64,444.9623325,1423.021249,530,u,UW,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
25,1,P101,booed,94.98,389.0291474,1439.063408,530,u,UW,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
26,2,P101,boot,98.08,404.4443762,1404.385591,490,u,UW,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
26,1,P101,boot,93.9,676.7724245,2055.659524,530,u,UW,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
26,3,P101,boot,96.72,372.327162,1347.212065,480,u,UW,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
27,1,P101,pooed,93.93,416.0119225,1298.293357,440,u,UW,voiceless,voiced,voiceless_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
27,2,P101,pooed,104.73,440.0295816,1587.188365,430,u,UW,voiceless,voiced,voiceless_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
27,3,P101,pooed,108.93,391.1737823,1197.393899,370,u,UW,voiceless,voiced,voiceless_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
28,2,P101,poot,108.69,399.3893982,1384.079969,410,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
28,1,P101,poot,112.67,375.0138623,1380.711226,420,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
28,3,P101,poot,106.44,386.1220984,1350.567776,440,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
29,2,P101,bud,85.35,575.030121,1067.713466,420,ʌ,AH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
29,1,P101,bud,82.59,623.4816747,1137.870493,470,ʌ,AH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
29,3,P101,bud,89.89,619.7480797,1101.427183,510,ʌ,AH,voiced,voiced,voiced_voiced,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
30,3,P101,but,82.17,649.8062855,1117.42008,490,ʌ,AH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
30,1,P101,but,87.83,683.1200505,1165.382487,500,ʌ,AH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
30,2,P101,but,91.95,624.7143853,1149.694976,400,ʌ,AH,voiced,voiceless,voiced_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
31,2,P101,pud,93.7,699.6242594,1155.617169,550,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
31,3,P101,pud,92.24,629.3430717,1164.357734,550,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
31,1,P101,pud,97.57,730.884071,1074.322795,360,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
32,1,P101,putt,107.64,656.7730661,1187.071637,420,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
32,2,P101,putt,87.07,664.9492925,1067.265835,550,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
32,3,P101,putt,94.43,696.0707743,1164.285962,510,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
33,3,P101,cot,84.33,678.7869212,1215.51377,440,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
33,1,P101,cot,89.6,713.5913241,1041.040589,470,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
33,2,P101,cot,85.29,809.6462288,868.4397169,380,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
34,2,P101,caught,88.05,658.5909742,1017.911064,370,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
34,3,P101,caught,87.68,672.541147,1052.411364,410,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
34,1,P101,caught,87.3,697.4981023,1032.833504,420,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,23,1.5,Male,Mixed,CA,CA,6to10y,NA,no,NA,0,ASL
34,1,P102,caught,76.59,671.6696639,1115.414196,350,ɔ,AO,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
8,1,P102,pot,81.51,682.3145094,1068.635162,310,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
5,1,P102,bod,NA,660.4742677,1097.993598,340,ɑ,AA,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
9,1,P102,bed,75.34,493.5025321,1742.592845,340,ɛ,EH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
31,1,P102,pud,77.51,585.8222522,1430.82361,360,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
32,1,P102,putt,79.18,624.8408981,1304.730542,270,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
6,1,P102,bot,NA,815.9921201,2238.22335,310,ɑ,AA,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
12,1,P102,pet,87.89,587.8608013,1685.41098,310,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
18,1,P102,bit,80.83,446.8425137,1786.988423,300,ɪ,IH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
1,1,P102,bad,76.78,640.9086715,1729.650931,380,æ,AE,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
7,1,P102,pod,79.51,626.2436969,1050.471789,380,ɑ,AA,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
11,1,P102,ped,83.35,568.4545272,1739.658916,392.72,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
17,1,P102,bid,80.21,388.2067132,1816.868425,310,ɪ,IH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
9,2,P102,bed,81.71,526.9972787,1781.10116,340,ɛ,EH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
18,2,P102,bit,80.94,372.7566488,1879.61597,290,ɪ,IH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
1,2,P102,bad,78.01,655.2374008,1689.515063,380,æ,AE,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
2,1,P102,bat,76.8,680.015739,1661.328918,380,æ,AE,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
10,1,P102,bet,80.88,549.1779717,1750.982521,360,ɛ,EH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
11,2,P102,ped,80.82,532.0820931,1746.85829,460.14,ɛ,EH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
31,2,P102,pud,77.26,559.3247271,1469.15756,360,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
2,2,P102,bat,78.73,678.8088047,1627.69488,390,æ,AE,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
31,3,P102,pud,80.59,602.1216591,1405.234569,380,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
7,2,P102,pod,79,663.2313617,1083.12374,420,ɑ,AA,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
8,2,P102,pot,79.01,695.9325916,1137.370324,430,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
